ID,Título do caso de teste,Etapas do teste,Dados do teste (corpo da solicitação),Resultado esperado,Resultado real,Status,Link para o relatório de bug
Requisito 1: /api/v1/kits/:id/products,,,,,,,
1,Adicionar produtos existentes a um kit,1. Envie uma solicitação POST para /api/v1/kits/:id/products com um ID de kit existente na URL e um ID de produto no corpo da solicitação.,"Path params: id=2 
{
 ""productsList"": [
 {
 ""id"": 1,
 ""quantity"":
 2
 }
 ]
 }",200 OK ,200 OK ,APROVADO,
2,Não é possivel adicionar produtos a um kit com 30 itens,1. Envie uma solicitação POST para /api/v1/kits/1/products com dados validos de modo a execeder 30 produtos,"{
    ""productsList"": [
        {
            ""id"": 1,
            ""quantity"": 2
        },
        {
            ""id"": 6,
            ""quantity"": 2
        }
    ]
}",400 bad request,400 bad request,aprovado,
3,É possivel adicionar produtos a um kit com 0 itens,1. Envie uma solicitação POST para /api/v1/kits/7/products com dados validos,"{
    ""productsList"": [
        {
            ""id"": 1,
            ""quantity"": 2
        }
    ]
}",200 ok,200 ok,aprovado,
4,É possivel adicionar produtos a um kit com 1 itens,1. Envie uma solicitação POST para /api/v1/kits/7/products com dados validos,"{
    ""productsList"": [
        {
            ""id"": 3,
            ""quantity"": 2
        }
    ]
}",200 ok,200 ok,aprovado,
5,É possivel adicionar produtos a um kit com 29 itens,1. Envie uma solicitação POST para /api/v1/kits/2/products com dados validos,"{
    ""productsList"": [
        {
            ""id"": 3,
            ""quantity"": 2
        }
    ]
}",200 ok,200 ok,aprovado,
6,Não é possivel adicionar produtos a um kit com 31 itens,1. Envie uma solicitação POST para /api/v1/kits/7/products com dados invalidos,"{
    ""productsList"": [
        {
            ""id"": 35,
            ""quantity"": 1
        }
    ]
}",400 bad request,400 bad request,aprovado,
7,Não é possivel adicionar produtos a um kit dados invalidos (produto inexistente),1. Envie uma solicitação POST para /api/v1/kits/7/products com dados invalidos,"{
    ""productsList"": [
        {
            ""id"": 200,
            ""quantity"": 1
        }
    ]
}",400 bad request,200 ok,Reprovado,https://pauloborges091.atlassian.net/browse/TS4-1
8,Não é possivel adicionar produtos a um kit dados invalidos (kit inexistente),1. Envie uma solicitação POST para /api/v1/kits/10/products com dados invalidos,"{
    ""productsList"": [
        {
            ""id"": 1,
            ""quantity"": 1
        }
    ]
}",404 not found,404 not found,aprovado,
9,Não é possivel adicionar produtos a um kit dados invalidos (simbolos especiais),1. Envie uma solicitação POST para /api/v1/kits/7/products com dados invalidos,"{
    ""productsList"": [
        {
            ""id"": !,
            ""quantity"": 1
        }
    ]
}",400 bad request,400 bad request,aprovado,
10,Não é possivel adicionar produtos a um kit dados invalidos (vazio),1. Envie uma solicitação POST para /api/v1/kits/7/products com dados invalidos,"{
    ""productsList"": [
        {
            ""id"": ,
            ""quantity"": 1
        }
    ]
}",400 bad request,400 bad request,aprovado,
